Latitude,Longitude,Landuse forest cover in 1990,Landuse shrubland in 1990,Landuse grassland in 1990,Landuse agriculture in 1990,Landuse bareland in 1990,Landuse settlements in 1990,Landuse waterbodies in 1990,Landuse snow and gacier lakes in 1990, Landuse forest cover in 2000,Landuse shrubland in 2000,Landuse grassland in 2000, Landuse agriculture in 2000,Landuse bareland in 2000,Landuse settlements in 2000,Landuse waterbodies in 2000,Landuse snow and gacier lakes in 2000,Landuse forest cover in 2010,Landuse shrubland in 2010,Landuse grassland in 2010,Landuse agriculture in 2010,Landuse bareland in 2010,Landuse settlements in 2010 ,Landuse waterbodies in 2010, Landuse snow and gacier lakes in 2010,Slope 0-5 degrees,Slope 5-10 degrees,Slope 10-15 degrees,SLope 15-20 degrees,SLope 20-25 degrees,Slope 25-30 degrees,Slope 30-40 degrees,Slope 40-50 degrees,Slope 50-60 degrees,Slope over 60 degree,Glaciated mountain," Haplumbrepts, Dystrochrepts, Cyrumbrepts soils","Dystrochrepts, Haplumbrepts, Haplustalfs","Dystrochrepts, Haplustalfs, Rhodustaifs","Udipsamments, Dystrochrepts, Rhodustalfs","Udipsamments, Dystrochrepts, Rhodustalfs","Udorthents, Haplustalfs, Rhodustralfs "," Haplaquents, Haplaqepts, Eutrocrepts","Haplaquents, Psammaquents, Ustorthents","Rhodustalfs, Dystrochrepts, Haplustailfs",Distance to river 1-99 meters,Distance from river 100-199 meters,Distance from river 200-299 meters,Distance from river 300-399 meters,Distance from river 400-499 meters,Distance from river 500-599 meters, Distance from river 600-699 meters,Distance from river 700-799 meters,Distance from river 800-899 meters,Distance from river over 900 meters,Distance from major roads 0 meters,Distance from major roads 0-50 meters,Distance from major roads 50-75 meters,Distance from major roads  above 75meters,Distance from minor roads 0 meters,Distance from minor roads 0 -25 meters,Distance from minor roads 25-50 meters, Distance from minor roads over 75 meters,Flat Area,Facing North Facing In,Northeast facing in Province 1,East facing ,Southeast facing ,South facing,Southwest facing, West facing,Northwest facing,North facing,ppt500 mm-1000mm, ppt1000mm-3000mm,ppt2000mm - 3000mm,Over 3000 mm,RainFall Erosibity Factor for(500-1000mm),RainFall Erosibity Factor for (1000-3000mm),RainFall Erosibity Factor for (2000-3000mm),RainFall Erosibity Factor for over 3000)
27.023391,87.792979,183600,0,743400,63000,0,0,0,0,170100,0,759600,58500,0,0,0,0,164700,19800,735300,69300,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,201600,329400,153900,99900,0,0,0,7200,28800,44100,63900,94500,107100,118800,3600,7200,25200,37800,72900,118800,352800,330300,87300,4500,0,0,980100,0,0,53100,128700,157500,487800,208800,3600,0,0,900,1913.8252,-59.9,-59.9,433.5313
26.507369,88.051922,554400,0,0,189000,217800,0,27000,0,147600,0,0,642600,117000,0,80100,0,124200,0,0,791100,900,0,79200,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,181800,288000,171900,117000,132300,119700,123300,113400,136800,121500,99000,76500,45000,23400,7200,53100,136800,255600,289800,153000,64800,18000,1800,0,0,1009800,0,0,0,0,214200,281700,287100,189900,5400,900,0,900,2900.6878,433.5313,-59.9,433.5313
26.752889,87.225813,987300,0,0,0,0,0,0,0,990000,0,0,0,0,0,0,0,991800,0,0,0,0,0,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,63000,123300,79200,56700,0,0,0,0,0,59400,107100,97200,96300,108900,1800,8100,19800,81900,99900,126000,371700,198000,63000,9900,0,1009800,0,0,0,8100,108000,477000,295200,85500,5400,0,0,900,2900.6878,-59.9,-59.9,433.5313
26.949142,86.845051,990000,0,0,0,0,0,0,0,987300,0,0,0,0,0,0,0,963000,0,10800,23400,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,124200,225900,162900,153900,5400,27900,45900,55800,86400,99000,106200,143100,130500,112500,2700,4500,22500,62100,135900,183600,334800,166500,63000,4500,0,0,1009800,0,0,18000,202500,384300,243000,124200,5400,0,0,2700,2900.6878,-59.9,-59.9,1420.3939
27.628986,87.345547,920700,0,0,69300,0,0,0,0,909000,0,0,81000,0,0,0,0,909900,0,29700,53100,0,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,39600,79200,59400,59400,0,4500,31500,50400,75600,96300,117900,135900,120600,111600,43200,129600,193500,234900,178200,130500,96300,3600,0,0,0,0,1009800,0,0,9000,197100,171000,176400,200700,157500,82800,11700,3600,86290.5775,45335.7796,6354.7069,1913.8252
27.355813,86.584085,770400,0,0,222300,0,0,0,0,759600,0,0,234900,0,0,0,0,689400,1800,0,304200,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,45000,83700,61200,59400,223200,189900,197100,181800,100800,78300,19800,0,0,0,6300,31500,91800,152100,200700,188100,264600,45000,0,0,0,1009800,0,0,0,117000,261000,247500,163800,123300,17100,0,3600,46800,9315.2947,-59.9,1913.8252,25598.5276
27.546113,87.189377,761400,227700,0,0,0,0,0,0,767700,221400,0,0,0,0,0,0,694800,259200,36900,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,54000,94500,59400,55800,0,0,0,0,36000,93600,110700,98100,96300,108000,3600,28800,54000,116100,130500,150300,307800,177300,71100,900,0,980100,0,0,0,0,0,45900,286200,337500,303300,66600,900,0,166226.4481,36454.0162,433.5313,-59.9
27.511352,86.521269,992700,0,0,0,0,0,0,0,995400,0,0,0,0,0,0,0,950400,0,40500,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,0,36000,70200,45900,45900,280800,231300,180900,122400,103500,59400,17100,0,0,0,26100,90000,216900,295200,190800,92700,67500,900,0,0,590400,389700,0,0,0,21600,33300,25200,211500,572400,87300,9000,7200,12600,47802.9361,4874.413,3887.5504,6848.1382
26.890188,87.373794,964800,0,0,24300,0,0,0,0,962100,0,0,25200,0,0,0,0,970200,0,0,22500,0,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,31500,62100,60300,75600,0,0,9000,30600,53100,63000,81000,109800,118800,131400,20700,66600,122400,217800,230400,203400,117900,900,0,0,0,980100,0,0,0,7200,25200,146700,347400,45900,6300,86400,278100,36900,3394.1191,47309.5048,152410.3717,20170.7833
27.240955,87.373616,365400,0,0,626400,0,0,0,0,349200,0,0,639900,0,0,0,0,371700,8100,0,615600,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,82800,152100,106200,102600,14400,34200,62100,81900,115200,108000,133200,139500,106200,89100,580500,379800,19800,0,0,0,0,0,0,0,0,0,1009800,0,900,84600,158400,104400,101700,140400,188100,84600,74700,42300,103067.2417,46322.6422,40894.8979,23131.3711
26.794955,87.869406,734400,0,0,254700,0,0,0,0,721800,0,0,266400,0,0,0,0,672300,0,0,315900,0,0,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,185400,275400,142200,102600,5400,26100,50400,79200,138600,169200,227700,225000,65700,6300,555300,405000,39600,9900,0,0,0,0,0,0,0,0,980100,0,900,27900,60300,86400,160200,185400,198900,161100,102600,26100,108988.4173,88264.3027,56191.2682,14249.6077
26.608477,87.438078,0,0,0,989100,0,0,0,0,0,0,0,990900,0,0,0,0,0,0,0,995400,0,0,0,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,134100,225000,136800,114300,227700,207000,186300,127800,104400,67500,41400,28800,5400,0,11700,54000,65700,138600,160200,162000,239400,129600,18900,0,0,980100,0,0,900,14400,4500,17100,148500,423000,243900,76500,42300,9000,133659.9823,41881.7605,23131.3711,4874.413
27.109038,87.104739,0,0,0,990900,0,0,0,0,0,0,0,990000,0,0,0,0,0,0,0,992700,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,81900,150300,98100,85500,40500,59400,92700,103500,107100,102600,103500,103500,104400,97200,3600,18900,48600,108000,170100,260100,333000,64800,2700,0,0,980100,0,0,0,82800,333000,224100,160200,38700,1800,0,71100,98100,926.9626,-59.9,38921.1727,53724.1117
27.284542,87.204963,0,0,0,682200,171000,0,134100,0,0,0,0,753300,136800,0,100800,0,0,0,0,692100,198900,0,98100,0,0,0,0,0,0,0,0,0,0,1009800,0,0,0,0,60300,113400,77400,72900,252000,200700,183600,161100,84600,56700,47700,3600,0,0,0,0,22500,77400,112500,182700,457200,164700,23400,0,0,0,0,980100,0,0,56700,674100,309600,0,0,0,0,0,-59.9,-59.9,-59.9,-59.9
27.373505,86.36312,993600,0,0,0,0,0,0,0,993600,0,0,0,0,0,0,0,941400,0,16200,39600,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,129600,237600,150300,112500,280800,226800,183600,118800,107100,60300,18000,0,0,0,9900,51300,94500,150300,180900,183600,234900,87300,13500,3600,0,1040400,0,0,0,108000,176400,135900,231300,131400,107100,8100,30600,81000,58658.4247,4380.9817,16716.7642,44348.917
27.423734,87.877873,378900,0,0,609300,0,0,0,0,395100,0,0,590400,0,0,0,0,393300,0,0,600300,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,0,0,0,0,86400,166500,111600,99000,153000,97200,97200,111600,96300,94500,114300,101700,85500,40500,2700,9900,11700,28800,49500,111600,349200,246600,142200,27900,0,0,0,1009800,0,248400,167400,12600,109800,103500,11700,5400,116100,205200,6354.7069,2900.6878,63592.7377,112442.4364
27.58065,87.22161,990000,0,0,0,0,0,0,0,989100,0,0,0,0,0,0,0,982800,0,0,12600,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,0,16200,35100,35100,36900,357300,234000,134100,84600,80100,54900,30600,13500,0,0,14400,45900,76500,108900,102600,139500,303300,162900,24300,1800,0,980100,0,0,0,5400,70200,120600,199800,369000,205200,5400,900,3600,112442.4364,2900.6878,433.5313,1913.8252
26.689871,87.622862,0,0,0,779400,195300,0,14400,0,0,0,0,721800,269100,0,0,0,0,0,0,775800,216900,0,0,0,0,0,0,0,0,0,980100,0,0,0,0,0,0,0,138600,235800,130500,119700,410400,276300,262800,39600,0,0,0,0,0,0,4500,18000,43200,89100,168300,138600,322200,179100,17100,0,0,0,76500,933300,0,0,0,0,68400,156600,342900,268200,141300,2700,187937.4253,146982.6274,77408.8141,1420.3939
27.356995,86.775679,22500,0,0,970200,0,0,0,0,8100,0,0,981900,0,0,0,0,27900,0,32400,936000,0,0,0,0,0,0,0,1009800,0,0,0,0,0,0,0,0,0,0,83700,169200,115200,103500,22500,43200,67500,85500,121500,119700,125100,125100,93600,83700,2700,8100,22500,63900,152100,212400,343800,152100,21600,900,0,1040400,0,0,0,222300,63900,6300,8100,122400,218700,18000,62100,258300,119843.9059,9808.726,33986.8597,141554.8831
